,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
0,Juventus FC,38.0,26.2,19.0,13.08,497.18,1,38,50,91,2016
1,SSC Napoli,37.0,25.7,22.0,10.47,387.38,3,38,55,86,2016
2,AS Roma,47.0,23.7,25.0,7.55,354.68,2,38,52,87,2016
3,Inter Milan,41.0,25.4,29.0,8.01,328.3,7,38,23,62,2016
4,AC Milan,42.0,24.9,21.0,6.06,254.33,6,38,12,63,2016
5,SS Lazio,46.0,23.7,33.0,4.92,226.45,5,38,23,70,2016
6,ACF Fiorentina,42.0,24.1,30.0,5.17,217.08,8,38,6,60,2016
7,Torino FC,51.0,24.3,24.0,3.18,162.35,9,38,5,53,2016
8,Atalanta BC,44.0,25.5,16.0,3.68,161.7,4,38,21,72,2016
9,US Sassuolo,48.0,24.5,7.0,3.03,145.25,12,38,-5,46,2016
10,UC Sampdoria,42.0,24.7,28.0,2.8,117.58,10,38,-6,48,2016
11,Genoa CFC,44.0,25.8,23.0,2.46,108.18,16,38,-26,36,2016
12,Udinese Calcio,44.0,24.5,34.0,2.32,101.95,13,38,-9,45,2016
13,Bologna FC 1909,48.0,24.7,22.0,1.98,95.0,15,38,-18,41,2016
14,Cagliari Calcio,46.0,24.7,17.0,1.33,61.08,11,38,-21,47,2016
15,Empoli FC,42.0,24.5,17.0,1.32,55.45,18,38,-32,32,2016
16,Delfino Pescara 1936,50.0,24.7,19.0,962.0,48.1,20,38,-44,18,2016
17,Chievo Verona,44.0,26.3,20.0,1.04,45.88,14,38,-18,43,2016
18,US Palermo,39.0,24.4,23.0,1.05,41.1,19,38,-44,26,2016
19,FC Crotone,37.0,25.0,12.0,992.0,36.7,17,38,-24,34,2016
