,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
0,Udinese Calcio,34.0,23.6,17.0,,,7,34,0,54,1998
1,Cagliari Calcio,31.0,25.5,9.0,,,12,34,-1,41,1998
2,Piacenza FC,29.0,26.0,0.0,,,13,34,-1,41,1998
3,AS Roma,30.0,24.9,12.0,,,5,34,20,54,1998
4,Juventus FC,37.0,24.2,13.0,,,6,34,6,54,1998
5,Vicenza Calcio,38.0,24.8,7.0,,,17,34,-20,33,1998
6,FC Internazionale,36.0,24.9,19.0,,,8,34,5,46,1998
7,Empoli FC,39.0,23.3,11.0,,,18,34,-37,20,1998
8,AS Bari,29.0,23.8,10.0,,,10,34,-5,42,1998
9,US Salernitana,37.0,24.8,6.0,,,15,34,-14,38,1998
10,Bologna FC 1909,34.0,26.3,7.0,,,9,34,-3,44,1998
11,SS Lazio,36.0,25.7,10.0,,,2,34,34,69,1998
12,UC Sampdoria,36.0,25.1,13.0,,,16,34,-17,37,1998
13,Udinese Calcio,37.0,23.2,17.0,,,8,34,10,50,1999
14,Reggina Calcio,34.0,24.9,7.0,,,11,34,-11,40,1999
15,Torino Calcio,41.0,26.2,10.0,,,15,34,-12,36,1999
16,Cagliari Calcio,35.0,24.7,11.0,,,17,34,-25,22,1999
17,AS Roma,43.0,24.0,15.0,,,6,34,23,54,1999
18,Piacenza FC,31.0,25.9,0.0,,,18,34,-26,21,1999
19,FC Internazionale,40.0,25.5,20.0,,,4,34,22,58,1999
20,Juventus FC,35.0,24.5,13.0,,,2,34,26,71,1999
21,Hellas Verona,33.0,25.4,6.0,,,9,34,-5,43,1999
22,AS Bari,38.0,23.7,13.0,,,14,34,-14,39,1999
23,US Lecce,36.0,26.7,7.0,,,13,34,-16,40,1999
24,SS Lazio,35.0,26.3,12.0,,,1,34,31,72,1999
25,Bologna FC 1909,35.0,25.9,9.0,,,12,34,-7,40,1999
26,Juventus FC,40.0,26.3,17.0,8.45,337.9,1,38,47,87,2012
27,FC Internazionale,55.0,24.3,33.0,4.41,242.8,9,38,-2,54,2012
28,AC Milan,42.0,25.5,22.0,5.68,238.53,3,38,28,72,2012
29,SSC Napoli,41.0,26.2,18.0,5.79,237.25,2,38,37,78,2012
30,ACF Fiorentina,42.0,25.2,25.0,5.09,213.65,4,38,28,70,2012
31,AS Roma,37.0,24.6,22.0,4.69,173.4,6,38,15,62,2012
32,SS Lazio,55.0,24.9,29.0,2.61,143.28,7,38,9,61,2012
33,Udinese Calcio,48.0,23.3,23.0,2.52,121.0,5,38,14,66,2012
34,Genoa CFC,46.0,26.5,23.0,2.14,98.5,17,38,-14,38,2012
35,UC Sampdoria,37.0,25.3,17.0,2.32,85.93,14,38,-8,42,2012
36,Parma FC,42.0,25.6,18.0,2.04,85.78,10,38,-1,49,2012
37,US Palermo,52.0,25.2,29.0,1.56,80.95,18,38,-20,32,2012
38,Bologna FC 1909,49.0,24.5,18.0,1.6,78.55,13,38,-6,44,2012
39,Calcio Catania,38.0,25.4,22.0,2.01,76.48,8,38,4,56,2012
40,Cagliari Calcio,34.0,24.0,12.0,2.25,76.38,11,38,-12,47,2012
41,Atalanta BC,43.0,27.7,12.0,1.72,74.1,15,38,-17,40,2012
42,Torino FC,38.0,25.8,18.0,1.62,61.6,16,38,-9,39,2012
43,Chievo Verona,46.0,26.8,26.0,1.2,55.1,12,38,-15,45,2012
44,Delfino Pescara 1936,52.0,24.5,15.0,0.919,47.8,20,38,-57,22,2012
45,AC Siena,48.0,27.3,17.0,0.989,47.48,19,38,-21,30,2012
46,AC Milan,43.0,27.0,16.0,6.38,274.35,4,38,21,61,2006
47,FC Internazionale,59.0,23.8,31.0,4.53,267.23,1,38,46,97,2006
48,AS Roma,40.0,24.7,17.0,5.17,206.65,2,38,40,75,2006
49,ACF Fiorentina,38.0,24.1,15.0,4.2,159.6,6,38,31,58,2006
50,US Palermo,52.0,23.8,8.0,2.45,127.28,5,38,7,58,2006
51,SS Lazio,34.0,26.7,10.0,3.1,105.35,3,38,26,62,2006
52,Udinese Calcio,52.0,21.9,25.0,2.01,104.58,10,38,-6,46,2006
53,Chievo Verona,53.0,24.9,9.0,1.58,83.5,18,38,-10,39,2006
54,UC Sampdoria,42.0,24.3,9.0,1.65,69.45,9,38,-4,49,2006
55,AS Livorno,34.0,27.9,11.0,2.01,68.33,11,38,-13,43,2006
